GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FIS_Minesweeper_Game_final,default,Main,33,0,0,0,9,0,3,0,3,0
FIS_Minesweeper_Game_final,controllers,PlayGuest.GamePlay,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,Board.MinesAdapter,262,0,26,0,43,0,15,0,2,0
FIS_Minesweeper_Game_final,controllers,UserHomeScreenJ.GamePlay1,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,UserScore,24,0,0,0,6,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,UserHomeScreenJ.GamePlay2,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,Board,763,0,126,0,167,0,68,0,5,0
FIS_Minesweeper_Game_final,controllers,AdminHomeScreen,31,0,0,0,7,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,PlayGuest,49,0,0,0,13,0,5,0,5,0
FIS_Minesweeper_Game_final,controllers,UserHomeScreenJ.GamePlay,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,Board2.MinesAdapter,258,0,26,0,42,0,15,0,2,0
FIS_Minesweeper_Game_final,controllers,Board2,751,0,126,0,163,0,68,0,5,0
FIS_Minesweeper_Game_final,controllers,PlayGuest.GamePlay1,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,Board1.MinesAdapter,258,0,26,0,42,0,15,0,2,0
FIS_Minesweeper_Game_final,controllers,UserHomeScreenJ,77,0,0,0,19,0,6,0,6,0
FIS_Minesweeper_Game_final,controllers,Leaderboard,111,0,2,0,25,0,4,0,3,0
FIS_Minesweeper_Game_final,controllers,Board1,751,0,126,0,163,0,68,0,5,0
FIS_Minesweeper_Game_final,controllers,PlayGuest.GamePlay2,45,0,0,0,13,0,2,0,2,0
FIS_Minesweeper_Game_final,controllers,HomeScreen,336,35,27,1,79,9,22,4,8,4
